Timestamp,Who did you just catch?,Type,Type2,Combat Power of the Pokemon,Your level,Your team,Time in minutes you've waited for the wild Pokemon to appear.,Where did you catch the Pokemon?,What is the weather?,Is it day or night?,Are you under influence of lure module / incense?,How many Pokestops are there within 3 minutes of walking?,How many Pokeballs did you spend to catch the Pokemon?,Did you use a Razz Berry?
9/9/2016 10:16,Ekans,Poison,,365,16,Mystic (blue),1,school,Clear sky,day,no,12,3,yes
9/9/2016 12:01,Pidgey,Flying, Normal,178,16,Mystic (blue),1,school,Clear sky,day,no,10,1,no
9/9/2016 12:06,Rattata,Normal,,157,16,Mystic (blue),5,school,Clear sky,day,no,8,2,no
9/9/2016 14:59,Rattata,Normal,,39,5,haven't chosen yet,1,library,Cloudy,day,no,2,1,no
9/9/2016 15:01,Poliwag,Water,,10,5,haven't chosen yet,2,library,Cloudy,day,no,1,2,no
9/9/2016 15:11,Jigglypuff,Fairy, Normal,37,5,haven't chosen yet,3,library,Cloudy,day,no,4,2,no
9/9/2016 17:03,Rattata,Normal,,210,15,Mystic (blue),1,school,Rain,day,yes,7,1,no
9/9/2016 17:06,Eevee,Normal,,135,16,Mystic (blue),3,school,Rain,day,yes,7,3,yes
9/9/2016 17:08,Venonat,Bug, Poison,98,16,Mystic (blue),3,school,Rain,day,yes,7,3,no
9/9/2016 18:04,Pidgey,Flying, Normal,112,16,Mystic (blue),3,school,Cloudy,day,no,7,4,no
9/9/2016 18:06,Rattata,Normal,,114,16,Mystic (blue),0,school,Rain,day,no,7,1,no
9/9/2016 18:12,Rattata,Normal,,82,16,Mystic (blue),6,school,Cloudy,day,no,12,1,no
9/9/2016 20:17,Horsea,Water,,171,20,Mystic (blue),5,forest (around NTU),Cloudy,night,no,2,1,no
9/9/2016 20:19,Dratini,Dragon,,440,20,Mystic (blue),2,water body (Nanyang Lake),Clear sky,day,no,3,5,yes
9/9/2016 20:22,Gastly,Ghost, Poison,191,16,Mystic (blue),5,school,Cloudy,night,no,7,2,yes
9/9/2016 20:44,Rattata,Normal,,10,8,Valor (red),1,school,Clear sky,day,no,6,2,no
9/9/2016 20:55,Snorlax ,Normal,,1100,25,Valor (red),8,student hall,Cloudy,night,no,0,27,yes
9/10/2016 10:47,Rattata,Normal,,213,24,Valor (red),1,school,Clear sky,day,yes,2,2,no
9/10/2016 14:25,Magikarp,Water,,10,2,haven't chosen yet,2,water body (Nanyang Lake),Clear sky,day,no,3,1,no
9/10/2016 22:06,Golbat,Flying, Poison,201,10,Mystic (blue),5,school,Cloudy,night,no,3,4,yes
9/11/2016 10:30,Rattata,Normal,,105,10,haven't chosen yet,5,school,Clear sky,day,no,7,2,no
9/12/2016 11:13,Spearow,Flying, Normal,193,24,Mystic (blue),5,student hall,Clear sky,day,no,3,1,no
9/12/2016 11:14,Raticate,Normal,,410,24,Mystic (blue),1,school,Clear sky,day,no,7,3,no
9/12/2016 11:28,Spearow,Flying, Normal,402,24,Mystic (blue),0,school,Clear sky,day,no,9,1,no
9/12/2016 11:40,Pidgey,Flying, Normal,373,24,Mystic (blue),7,school,Clear sky,day,no,7,1,no
9/12/2016 12:43,Weedle,Bug, Poison,74,24,Mystic (blue),0,school,Clear sky,day,no,5,1,no
9/12/2016 13:24,Venonat,Bug, Poison,156,22,Mystic (blue),1,school,Cloudy,day,no,3,1,no
9/12/2016 13:25,Psyduck,Water,,613,22,Mystic (blue),2,school,Clear sky,day,yes,3,1,no
9/12/2016 13:26,Slowpoke,Psychic, Water,444,22,Mystic (blue),2,student hall,Clear sky,day,no,2,1,no
9/12/2016 13:27,Poliwag,Water,,299,22,Mystic (blue),1,school,Clear sky,day,no,3,1,yes
9/12/2016 13:28,Zubat,Flying, Poison,181,22,Mystic (blue),1,school,Clear sky,day,no,3,1,no
9/12/2016 13:29,Magikarp,Water,,127,22,Mystic (blue),1,water body (Nanyang Lake),Clear sky,day,no,1,1,no
